job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
12-block2-n64-tfhe-after,2,64,general,tfhe-after,2,10,measured,64,1.351117416,64,19,,,,,,,,,
12-block2-n64-tfhe-after,2,64,aligned,tfhe-after,2,11,measured,64,1.376378084,64,13,,,,,,,,,
13-block3-n64-tfhe-before,3,64,aligned,tfhe-before,1,0,warmup,64,1.40408425,64,9,,,,,,,,,
13-block3-n64-tfhe-before,3,64,general,tfhe-before,1,1,warmup,64,1.3615515,64,15,,,,,,,,,
13-block3-n64-tfhe-before,3,64,mixed,tfhe-before,1,2,warmup,64,1.5319385,64,21,,,,,,,,,
13-block3-n64-tfhe-before,3,64,aligned,tfhe-before,1,3,measured,64,1.375098708,64,11,,,,,,,,,
13-block3-n64-tfhe-before,3,64,general,tfhe-before,1,4,measured,64,1.403483875,64,17,,,,,,,,,
13-block3-n64-tfhe-before,3,64,mixed,tfhe-before,1,5,measured,64,1.53583575,64,23,,,,,,,,,
13-block3-n64-tfhe-before,3,64,aligned,tfhe-before,1,6,measured,64,1.358757,64,12,,,,,,,,,
13-block3-n64-tfhe-before,3,64,general,tfhe-before,1,7,measured,64,1.390733875,64,18,,,,,,,,,
13-block3-n64-tfhe-before,3,64,mixed,tfhe-before,1,8,measured,64,1.516603208,64,24,,,,,,,,,
13-block3-n64-tfhe-before,3,64,aligned,tfhe-before,1,9,measured,64,1.391654583,64,13,,,,,,,,,
13-block3-n64-tfhe-before,3,64,general,tfhe-before,1,10,measured,64,1.419029333,64,19,,,,,,,,,
13-block3-n64-tfhe-before,3,64,mixed,tfhe-before,1,11,measured,64,1.461691125,64,25,,,,,,,,,
14-block3-n64-ckks,3,64,aligned,ckks,1,0,warmup,64,3.115719292,64,,0.00027282833534059137,2.871820039343058e-06,0.010114292,0.081705333,0.677128792,0.846549916,1.407336834,0.110163334,0.074540125
14-block3-n64-ckks,3,64,general,ckks,1,1,warmup,64,3.040374084,64,,0.0005648689947861385,8.644033135618885e-06,0.01188825,0.07532025,0.640274292,0.8242575,1.391321125,0.108408167,0.076112667
14-block3-n64-ckks,3,64,mixed,ckks,1,2,warmup,64,3.023050125,64,,0.0008312266517833677,1.6843468665209681e-06,0.0074855,0.075539584,0.636172625,0.810109292,1.388910166,0.109423791,0.078433958
14-block3-n64-ckks,3,64,aligned,ckks,1,3,measured,64,3.063164125,64,,0.00039280914614892026,1.6462827292939062e-06,0.009194583,0.074314708,0.637747,0.816102334,1.421714,0.110208125,0.077392416
14-block3-n64-ckks,3,64,general,ckks,1,4,measured,64,3.009940917,64,,0.00038534030559844723,5.169439931989745e-06,0.009721458,0.074517833,0.639082792,0.808939833,1.378898625,0.108155125,0.074864125
14-block3-n64-ckks,3,64,mixed,ckks,1,5,measured,64,3.04599275,64,,0.0005957171558392815,7.136312871566405e-06,0.010598583,0.077246708,0.643282833,0.813952042,1.403304917,0.108725459,0.076727
